week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-08-25,Saturday,casual,15129,26.16
2024-08-25,Saturday,member,11724,15.58
2024-09-01,Sunday,casual,16818,26.78
2024-09-01,Sunday,member,11421,15.16
2024-09-01,Monday,casual,14128,25.38
2024-09-01,Monday,member,10941,15.3
2024-09-01,Tuesday,casual,9083,17.32
2024-09-01,Tuesday,member,15619,12.42
2024-09-01,Wednesday,casual,9017,16.03
2024-09-01,Wednesday,member,17084,12.33
2024-09-01,Thursday,casual,8790,15.89
2024-09-01,Thursday,member,15625,12.16
2024-09-01,Friday,casual,9522,16.3
2024-09-01,Friday,member,13737,12.23
2024-09-01,Saturday,casual,12531,21
2024-09-01,Saturday,member,12338,13.14
2024-09-08,Sunday,casual,11869,21.29
2024-09-08,Sunday,member,11346,13.83
2024-09-08,Monday,casual,8022,17.39
2024-09-08,Monday,member,14880,12.24
2024-09-08,Tuesday,casual,9198,16.87
2024-09-08,Tuesday,member,17142,12.34
2024-09-08,Wednesday,casual,10046,17.28
2024-09-08,Wednesday,member,17508,12.36
2024-09-08,Thursday,casual,10356,16.2
2024-09-08,Thursday,member,17232,12.28
2024-09-08,Friday,casual,11129,17.5
2024-09-08,Friday,member,15383,12.35
2024-09-08,Saturday,casual,15753,22.38
2024-09-08,Saturday,member,14095,14.05
2024-09-15,Sunday,casual,13718,22.98
2024-09-15,Sunday,member,12470,14.1
2024-09-15,Monday,casual,8799,17.94
2024-09-15,Monday,member,14981,12.22
2024-09-15,Tuesday,casual,9662,17.24
2024-09-15,Tuesday,member,17134,12.34
2024-09-15,Wednesday,casual,9614,16.26
2024-09-15,Wednesday,member,17377,12.4
2024-09-15,Thursday,casual,10426,17.94
2024-09-15,Thursday,member,17331,12.25
2024-09-15,Friday,casual,12075,19.08
2024-09-15,Friday,member,15345,12.68
2024-09-15,Saturday,casual,16318,21.42
2024-09-15,Saturday,member,14488,14.13
2024-09-22,Sunday,casual,4114,16.67
2024-09-22,Sunday,member,5094,12.4
2024-09-22,Monday,casual,6820,15.96
2024-09-22,Monday,member,13847,11.69
2024-09-22,Tuesday,casual,3710,11.84
2024-09-22,Tuesday,member,9631,11.04
2024-09-22,Wednesday,casual,9310,16.26
2024-09-22,Wednesday,member,16928,12.27
2024-09-22,Thursday,casual,10035,16.43
2024-09-22,Thursday,member,17173,12.24
2024-09-22,Friday,casual,9425,16.69
2024-09-22,Friday,member,13831,11.68
2024-09-22,Saturday,casual,9809,18.9
2024-09-22,Saturday,member,10565,12.82
2024-09-29,Sunday,casual,10238,22.18
2024-09-29,Sunday,member,10545,13.99
2024-09-29,Monday,casual,8065,17.1
2024-09-29,Monday,member,14710,11.69
2024-09-29,Tuesday,casual,5932,16.26
2024-09-29,Tuesday,member,14122,11.86
2024-09-29,Wednesday,casual,5873,15.94
2024-09-29,Wednesday,member,14417,12.2
2024-09-29,Thursday,casual,6326,17.08
2024-09-29,Thursday,member,14141,12.24
2024-09-29,Friday,casual,6673,17.56
2024-09-29,Friday,member,12166,11.83
2024-09-29,Saturday,casual,10993,23.01
2024-09-29,Saturday,member,12064,13.93
2024-10-06,Sunday,casual,9365,22.87
2024-10-06,Sunday,member,10376,13.95
